sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
518.67,642.19,1587.2799999999997,1405.05,14.62,21.61,554.28,2387.99,9063.06,1.3,47.37,522.21,2388.02,8139.4,8.3809,0.03,390.99999999999994,2388.0,100.0,38.95,23.361
518.67,642.06,1582.62,1391.77,14.62,21.61,554.22,2387.99,9057.98,1.3,47.09,522.86,2387.99,8144.25,8.4008,0.03,390.99999999999994,2388.0,100.0,39.08,23.4337
518.67,641.74,1590.5399999999997,1404.73,14.62,21.61,554.44,2387.96,9049.47,1.3,47.27,522.3,2387.99,8139.56,8.4113,0.03,392.0,2388.0,100.0,39.1,23.4173
518.67,642.44,1583.66,1398.72,14.62,21.61,553.92,2388.01,9062.51,1.3,47.05,522.69,2387.98,8144.679999999999,8.407,0.03,392.0,2388.0,100.0,38.89,23.3802
518.67,641.91,1590.37,1404.26,14.62,21.61,554.83,2388.02,9059.25,1.3,47.1,523.13,2387.95,8141.34,8.3815,0.03,392.0,2388.0,100.0,39.04,23.3513
518.67,642.07,1594.91,1395.4,14.62,21.61,554.3,2388.03,9054.92,1.3,47.22,522.15,2387.98,8143.18,8.382,0.03,392.0,2388.0,100.0,38.97,23.437199999999997
518.67,642.11,1578.0,1393.43,14.62,21.61,554.06,2387.98,9070.76,1.3,47.1,522.16,2387.97,8145.68,8.39,0.03,390.99999999999994,2388.0,100.0,39.11,23.421600000000005
518.67,642.35,1573.7300000000002,1393.78,14.62,21.61,554.55,2388.05,9061.65,1.3,46.96,521.83,2388.0,8141.98,8.403,0.03,392.0,2388.0,100.0,39.14,23.3938
518.67,642.0,1588.3199999999997,1397.58,14.62,21.61,554.74,2388.01,9068.47,1.3,47.16,522.31,2388.05,8141.53,8.3863,0.03,390.99999999999994,2388.0,100.0,38.9,23.4746
518.67,642.76,1579.7300000000002,1397.17,14.62,21.61,554.89,2387.98,9059.61,1.3,47.02,522.14,2388.0,8143.19,8.3797,0.03,392.0,2388.0,100.0,39.06,23.3656
518.67,641.48,1582.8,1400.83,14.62,21.61,555.16,2387.97,9054.68,1.3,47.13,522.65,2388.02,8146.72,8.4036,0.03,392.0,2388.0,100.0,39.07,23.3072
518.67,642.28,1588.86,1397.71,14.62,21.61,554.23,2387.96,9055.62,1.3,47.3,521.95,2388.02,8145.74,8.4351,0.03,390.99999999999994,2388.0,100.0,39.09,23.548099999999998
518.67,642.39,1584.5999999999997,1399.0,14.62,21.61,554.69,2388.0,9062.16,1.3,47.34,521.99,2387.99,8144.38,8.4057,0.03,393.0,2388.0,100.0,38.96,23.3946
518.67,642.5,1580.46,1398.79,14.62,21.61,554.58,2388.01,9057.96,1.3,47.15,522.28,2388.04,8147.7300000000005,8.356,0.03,390.99999999999994,2388.0,100.0,38.88,23.4957
518.67,642.1,1586.89,1394.15,14.62,21.61,554.76,2387.97,9062.33,1.3,47.08,522.75,2388.02,8143.13,8.3502,0.03,393.0,2388.0,100.0,39.0,23.444100000000002
518.67,642.26,1589.8300000000002,1393.73,14.62,21.61,554.6,2388.0,9062.42,1.3,47.04,522.2,2387.98,8142.179999999999,8.3699,0.03,393.0,2388.0,100.0,38.96,23.4122
518.67,642.27,1578.73,1394.91,14.62,21.61,555.1,2387.96,9056.23,1.3,47.21,522.57,2387.97,8143.26,8.3796,0.03,390.99999999999994,2388.0,100.0,39.24,23.4017
518.67,642.14,1580.0500000000002,1397.9,14.62,21.61,554.52,2387.99,9061.56,1.3,47.23,522.3,2388.02,8145.85,8.4003,0.03,392.0,2388.0,100.0,39.07,23.3202
518.67,641.69,1587.4900000000002,1398.05,14.62,21.61,555.39,2387.97,9052.21,1.3,47.18,522.3,2388.01,8140.9800000000005,8.4023,0.03,390.99999999999994,2388.0,100.0,39.11,23.392
518.67,642.45,1579.1399999999999,1403.98,14.62,21.61,554.71,2388.01,9059.04,1.3,47.19,522.45,2388.04,8138.640000000001,8.3689,0.03,392.0,2388.0,100.0,39.07,23.4035
518.67,641.94,1586.75,1403.93,14.62,21.61,554.63,2388.04,9056.59,1.3,47.14,522.49,2387.97,8143.28,8.3765,0.03,390.99999999999994,2388.0,100.0,39.02,23.4273
